household_id,neighborhood,month,usage_liters,household_size,bill_usd,meter_reading,usage_per_person,month_name,month_num,is_anomaly
HH7619,Old Town,2023-07-01,176.4,2,7.98,9647,88.2,Jul,7,False
HH2214,Market Square,2023-09-01,275.2,1,16.03,2531,275.2,Sep,9,False
HH7316,Green Park,2023-09-01,169.7,4,9.4,2852,42.4,Sep,9,False
HH4376,Market Square,2023-06-01,375.3,1,16.63,6645,375.3,Jun,6,False
HH2353,Green Park,2023-05-01,153.1,3,10.71,6063,51.0,May,5,False
HH4719,Tech Hub,2023-08-01,376.4,2,20.39,3745,188.2,Aug,8,False
HH8102,Tech Hub,2023-02-01,231.1,3,8.88,8312,77.0,Feb,2,False
HH2581,Green Park,2023-01-01,204.8,5,7.25,8714,41.0,Jan,1,False
HH8418,Market Square,2023-06-01,310.4,2,19.18,6124,155.2,Jun,6,False
HH7938,Green Park,2023-06-01,260.9,3,10.85,5784,87.0,Jun,6,False
HH3000,Market Square,2023-01-01,138.9,4,5.14,6989,34.7,Jan,1,False
HH8245,Old Town,2023-05-01,207.9,3,11.6,7600,69.3,May,5,False
HH4419,Green Park,2023-03-01,153.8,2,6.35,8239,76.9,Mar,3,False
HH2077,River Side,2023-10-01,266.5,4,13.56,9427,66.6,Oct,10,False
HH5673,Market Square,2023-11-01,797.0,5,39.31,5530,159.4,Nov,11,True
HH2331,Tech Hub,2023-02-01,286.8,3,10.82,5261,95.6,Feb,2,False
HH3180,Green Park,2023-08-01,244.1,1,13.27,5892,244.1,Aug,8,False
HH8941,Tech Hub,2023-10-01,299.6,5,16.57,6569,59.9,Oct,10,False
HH7031,Market Square,2023-11-01,195.4,3,11.6,8687,65.1,Nov,11,False
HH5188,Tech Hub,2023-08-01,397.4,3,23.22,1671,132.5,Aug,8,False
HH4900,River Side,2023-10-01,238.5,2,10.87,7677,119.2,Oct,10,False
HH8240,Market Square,2023-06-01,346.8,2,15.27,7937,173.4,Jun,6,False
HH5432,Green Park,2023-09-01,183.7,5,13.13,2276,36.7,Sep,9,False
HH1364,Tech Hub,2023-08-01,491.2,2,23.94,7809,245.6,Aug,8,False
HH6870,Old Town,2023-08-01,236.0,3,10.23,2531,78.7,Aug,8,False
HH6750,Market Square,2023-02-01,258.2,1,8.0,9905,258.2,Feb,2,False
HH4596,Green Park,2023-01-01,133.6,1,4.52,7168,133.6,Jan,1,False
HH8943,Tech Hub,2023-10-01,299.8,2,17.95,7891,149.9,Oct,10,False
HH1876,Old Town,2023-10-01,133.7,2,3.92,4812,66.8,Oct,10,False
HH9434,Green Park,2023-01-01,146.8,1,2.78,3590,146.8,Jan,1,False
HH6560,Market Square,2023-04-01,1085.4,3,54.56,5289,361.8,Apr,4,True
HH9915,Old Town,2023-08-01,261.3,2,12.89,1224,130.6,Aug,8,False
HH2917,Tech Hub,2023-01-01,310.4,5,16.05,5234,62.1,Jan,1,False
HH7038,Tech Hub,2023-11-01,248.1,5,14.89,3219,49.6,Nov,11,False
HH3824,River Side,2023-08-01,289.9,1,16.02,2994,289.9,Aug,8,False
HH9567,Old Town,2023-01-01,149.5,5,8.76,4530,29.9,Jan,1,False
HH7413,Green Park,2023-02-01,167.6,3,11.54,7941,55.9,Feb,2,False
HH1600,Old Town,2023-05-01,169.89999999999998,4,5.78,2065,42.5,May,5,False
HH8804,Green Park,2023-02-01,145.5,3,9.88,7565,48.5,Feb,2,False
HH2997,Green Park,2023-07-01,311.9,2,12.44,4687,156.0,Jul,7,False
HH6408,Old Town,2023-07-01,179.6,5,11.27,9669,35.9,Jul,7,False
HH3645,Old Town,2023-04-01,189.1,4,10.9,5612,47.3,Apr,4,False
HH7359,Old Town,2023-10-01,191.1,4,8.53,8863,47.8,Oct,10,False
HH1094,Market Square,2023-08-01,337.2,2,15.75,3674,168.6,Aug,8,False
HH7166,Old Town,2023-04-01,111.0,3,6.11,1814,37.0,Apr,4,False
HH8790,River Side,2023-11-01,228.4,1,9.17,1827,228.4,Nov,11,False
HH6109,Old Town,2023-12-01,172.1,1,9.95,5146,172.1,Dec,12,False
HH4030,Market Square,2023-08-01,340.1,4,16.06,3872,85.0,Aug,8,False
HH9393,Green Park,2023-06-01,328.2,1,17.46,4507,328.2,Jun,6,False
HH8973,Green Park,2023-05-01,152.5,2,8.12,9577,76.2,May,5,False
HH2205,River Side,2023-11-01,209.9,4,13.83,2990,52.5,Nov,11,False
HH6588,Tech Hub,2023-06-01,398.5,2,21.74,1966,199.2,Jun,6,False
HH7704,Green Park,2023-04-01,248.3,5,9.16,5422,49.7,Apr,4,False
HH5524,Green Park,2023-07-01,292.5,5,13.97,9477,58.5,Jul,7,False
HH6232,Old Town,2023-02-01,167.2,4,6.36,6797,41.8,Feb,2,False
HH2481,Old Town,2023-04-01,168.7,2,7.93,7305,84.4,Apr,4,False
HH9519,Tech Hub,2023-01-01,802.0,3,42.64,8221,267.3,Jan,1,True
HH8970,Green Park,2023-05-01,195.25,2,7.64,3143,97.6,May,5,False
HH9966,Old Town,2023-04-01,109.2,2,3.66,3198,54.6,Apr,4,False
HH7035,Market Square,2023-03-01,291.0,5,16.47,4594,58.2,Mar,3,False
HH2279,River Side,2023-02-01,177.1,5,8.66,8083,35.4,Feb,2,False
HH4186,Old Town,2023-04-01,165.0,1,6.3,3573,165.0,Apr,4,False
HH3541,Green Park,2023-08-01,228.2,3,14.65,3051,76.1,Aug,8,False
HH6475,River Side,2023-10-01,227.5,2,12.69,9232,113.8,Oct,10,False
HH9041,River Side,2023-01-01,184.9,5,11.72,1341,37.0,Jan,1,False
HH3969,Market Square,2023-11-01,298.6,2,18.07,4028,149.3,Nov,11,False
HH3866,Tech Hub,2023-10-01,244.4,1,10.24,5788,244.4,Oct,10,False
HH9378,Tech Hub,2023-03-01,281.7,4,11.27,2333,70.4,Mar,3,False
HH8715,River Side,2023-07-01,322.8,1,16.51,9942,322.8,Jul,7,False
HH7122,Tech Hub,2023-03-01,282.7,5,14.38,1481,56.5,Mar,3,False
HH2240,Green Park,2023-10-01,116.4,1,5.12,1060,116.4,Oct,10,False
HH5203,Old Town,2023-08-01,177.3,5,8.06,9363,35.5,Aug,8,False
HH7960,Old Town,2023-06-01,171.1,3,10.84,4004,57.0,Jun,6,False
HH6895,Green Park,2023-10-01,186.5,3,13.22,3708,62.2,Oct,10,False
HH6387,Green Park,2023-07-01,277.1,2,16.59,4993,138.6,Jul,7,False
HH8686,Green Park,2023-10-01,204.6,5,10.5,5232,40.9,Oct,10,False
HH2466,Old Town,2023-08-01,257.9,2,12.73,4561,129.0,Aug,8,False
HH3983,Green Park,2023-08-01,239.0,5,11.33,5278,47.8,Aug,8,False
HH8564,Tech Hub,2023-07-01,432.4,1,17.76,9684,432.4,Jul,7,False
HH8206,River Side,2023-12-01,189.5,3,11.61,3032,63.2,Dec,12,False
HH5361,Market Square,2023-05-01,327.9,1,15.09,8069,327.9,May,5,False
HH7467,Green Park,2023-07-01,973.4,2,49.01,1145,486.7,Jul,7,True
HH9056,Market Square,2023-09-01,263.8,1,12.69,8511,263.8,Sep,9,False
HH2868,Tech Hub,2023-12-01,271.9,3,10.53,8878,90.6,Dec,12,False
HH8274,Tech Hub,2023-04-01,335.0,2,19.99,1824,167.5,Apr,4,False
HH9245,River Side,2023-09-01,236.7,5,10.59,8214,47.3,Sep,9,False
HH9194,Green Park,2023-09-01,168.8,1,6.09,8906,168.8,Sep,9,False
HH2218,Market Square,2023-08-01,282.6,5,12.37,6016,56.5,Aug,8,False
HH1954,River Side,2023-12-01,184.9,3,8.87,8291,61.6,Dec,12,False
HH9987,Old Town,2023-05-01,161.4,5,6.81,5036,32.3,May,5,False
HH7183,Market Square,2023-01-01,239.7,2,12.06,4930,119.8,Jan,1,False
HH2704,Market Square,2023-01-01,219.7,1,11.6,7924,219.7,Jan,1,False
HH3808,Old Town,2023-09-01,132.2,5,7.8,6150,26.4,Sep,9,False
HH3403,River Side,2023-10-01,203.7,2,11.46,9780,101.8,Oct,10,False
HH5543,Market Square,2023-12-01,218.2,2,11.0,2007,109.1,Dec,12,False
HH3382,Old Town,2023-07-01,240.1,4,12.1,6084,60.0,Jul,7,False
HH9073,Tech Hub,2023-04-01,286.6,1,14.72,3752,286.6,Apr,4,False
HH8813,River Side,2023-08-01,291.2,5,15.31,4356,58.2,Aug,8,False
HH4155,Tech Hub,2023-01-01,294.0,2,14.92,4093,147.0,Jan,1,False
HH2980,Old Town,2023-11-01,104.6,2,4.1,4056,52.3,Nov,11,False
HH7573,Green Park,2023-08-01,280.5,4,13.34,1984,70.1,Aug,8,False
HH1959,Green Park,2023-05-01,175.2,3,6.39,7059,58.4,May,5,False
HH2875,Market Square,2023-08-01,355.9,1,19.21,2763,355.9,Aug,8,False
HH1116,Green Park,2023-06-01,234.8,5,10.81,3433,47.0,Jun,6,False
HH6420,Old Town,2023-01-01,122.4,3,1.27,9920,40.8,Jan,1,False
HH4117,Green Park,2023-12-01,124.0,1,6.1,6791,124.0,Dec,12,False
HH1001,Tech Hub,2023-04-01,335.5,1,15.45,7368,335.5,Apr,4,False
HH8014,Green Park,2023-09-01,171.9,2,8.42,1089,86.0,Sep,9,False
HH2925,River Side,2023-02-01,197.6,3,10.15,3056,65.9,Feb,2,False
HH4389,Green Park,2023-07-01,206.0,2,12.02,9442,103.0,Jul,7,False
HH8294,Old Town,2023-04-01,224.7,3,13.58,5904,74.9,Apr,4,False
HH2560,Tech Hub,2023-10-01,350.6,4,16.61,2266,87.6,Oct,10,False
HH8979,River Side,2023-03-01,235.7,3,10.64,4665,78.6,Mar,3,False
HH7236,River Side,2023-03-01,221.1,3,11.3,7078,73.7,Mar,3,False
HH3071,Green Park,2023-07-01,284.7,5,14.01,9595,56.9,Jul,7,False
HH2712,Market Square,2023-04-01,276.2,2,15.35,5703,138.1,Apr,4,False
HH2394,Green Park,2023-04-01,177.5,2,8.13,5732,88.8,Apr,4,False
HH4591,Tech Hub,2023-03-01,344.3,3,19.98,7895,114.8,Mar,3,False
HH5648,River Side,2023-12-01,193.9,5,5.05,3365,38.8,Dec,12,False
HH9219,Tech Hub,2023-08-01,474.4,1,25.49,3113,474.4,Aug,8,False
HH8062,Old Town,2023-05-01,160.5,4,7.84,4374,40.1,May,5,False
HH7276,Old Town,2023-10-01,97.1,1,5.36,6895,97.1,Oct,10,False
HH4178,Old Town,2023-12-01,110.8,1,6.58,7052,110.8,Dec,12,False
HH2390,Market Square,2023-12-01,248.9,4,11.72,2742,62.2,Dec,12,False
HH1281,Tech Hub,2023-11-01,290.2,5,13.41,7262,58.0,Nov,11,False
HH3740,Old Town,2023-06-01,229.7,4,9.7,3289,57.4,Jun,6,False
HH4249,Old Town,2023-11-01,162.0,3,8.9,8595,54.0,Nov,11,False
HH9320,Tech Hub,2023-07-01,391.8,2,20.88,7812,195.9,Jul,7,False
HH7089,Market Square,2023-06-01,374.2,3,16.27,7257,124.7,Jun,6,False
HH5440,River Side,2023-01-01,192.5,3,9.96,5909,64.2,Jan,1,False
HH9125,Tech Hub,2023-01-01,273.5,5,13.96,4291,54.7,Jan,1,False
HH7924,River Side,2023-02-01,138.6,1,8.79,4828,138.6,Feb,2,False
HH5114,Market Square,2023-09-01,259.1,4,11.38,4553,64.8,Sep,9,False
HH3772,River Side,2023-09-01,243.7,1,11.4,4726,243.7,Sep,9,False
HH6592,Green Park,2023-12-01,188.1,5,13.46,2440,37.6,Dec,12,False
HH3989,Green Park,2023-01-01,143.9,2,7.13,7228,72.0,Jan,1,False
HH6252,River Side,2023-08-01,701.8,4,39.67,5399,175.4,Aug,8,True
HH7570,Market Square,2023-12-01,140.0,2,5.93,9212,70.0,Dec,12,False
HH1140,Old Town,2023-07-01,227.9,4,12.16,5882,57.0,Jul,7,False
HH8311,River Side,2023-04-01,193.9,4,7.73,1105,48.5,Apr,4,False
HH2286,Tech Hub,2023-02-01,264.5,3,13.09,8052,88.2,Feb,2,False
HH6495,Green Park,2023-10-01,155.3,4,7.46,7284,38.8,Oct,10,False
HH6752,Market Square,2023-06-01,389.8,2,20.33,7295,194.9,Jun,6,False
HH8227,Green Park,2023-10-01,154.3,4,5.6,4273,38.6,Oct,10,False
HH1482,Green Park,2023-02-01,136.0,5,7.66,4179,27.2,Feb,2,False
HH8622,River Side,2023-01-01,628.2,4,31.15,8327,157.0,Jan,1,True
HH1769,Old Town,2023-10-01,182.0,1,6.4,2343,182.0,Oct,10,False
HH7602,Old Town,2023-07-01,199.9,1,13.27,3349,199.9,Jul,7,False
HH8843,Old Town,2023-04-01,177.1,4,12.11,1072,44.3,Apr,4,False
HH4713,Green Park,2023-11-01,214.9,4,7.64,6051,53.7,Nov,11,False
HH9258,Market Square,2023-12-01,262.3,2,7.86,8979,131.2,Dec,12,False
HH4874,Market Square,2023-10-01,286.8,2,11.92,5211,143.4,Oct,10,False
HH4083,Tech Hub,2023-10-01,270.3,1,14.77,4719,270.3,Oct,10,False
HH3368,Tech Hub,2023-03-01,267.2,4,12.73,1285,66.8,Mar,3,False
HH2012,Market Square,2023-04-01,227.5,1,11.83,3785,227.5,Apr,4,False
HH3817,Market Square,2023-04-01,217.9,5,9.12,3496,43.6,Apr,4,False
HH9597,Old Town,2023-03-01,126.9,3,2.04,5437,42.3,Mar,3,False
HH6548,Tech Hub,2023-05-01,300.8,2,10.1,2826,150.4,May,5,False
HH8842,River Side,2023-06-01,297.2,5,13.96,7721,59.4,Jun,6,False
HH5259,Old Town,2023-02-01,157.4,5,8.11,9286,31.5,Feb,2,False
HH6772,Green Park,2023-06-01,236.5,1,13.69,3529,236.5,Jun,6,False
HH8967,Market Square,2023-02-01,165.1,4,8.33,9734,41.3,Feb,2,False
HH6179,Tech Hub,2023-02-01,699.3,2,34.05,7610,349.6,Feb,2,True
HH1689,Old Town,2023-05-01,153.6,3,10.66,6175,51.2,May,5,False
HH7406,Green Park,2023-07-01,235.1,3,10.93,9591,78.4,Jul,7,False
HH4292,Tech Hub,2023-01-01,259.8,4,13.0,1419,65.0,Jan,1,False
HH2549,Tech Hub,2023-06-01,388.7,5,19.02,7140,77.7,Jun,6,False
HH8638,Market Square,2023-07-01,262.3,2,42.89,8993,131.2,Jul,7,False
HH3385,Market Square,2023-01-01,240.6,5,11.04,5268,48.1,Jan,1,False
HH6887,Tech Hub,2023-01-01,258.6,4,10.98,8961,64.6,Jan,1,False
HH4493,Tech Hub,2023-02-01,290.0,1,12.77,7164,290.0,Feb,2,False
HH8177,River Side,2023-01-01,221.3,5,8.82,9433,44.3,Jan,1,False
HH7869,River Side,2023-12-01,204.6,3,11.25,3247,68.2,Dec,12,False
HH7230,Green Park,2023-01-01,154.0,4,6.19,5940,38.5,Jan,1,False
HH2668,Green Park,2023-07-01,241.0,1,12.42,1147,241.0,Jul,7,False
HH6510,Market Square,2023-08-01,309.6,3,13.54,9754,103.2,Aug,8,False
HH7511,Old Town,2023-10-01,168.5,2,7.01,8504,84.2,Oct,10,False
HH9569,Green Park,2023-09-01,142.4,4,6.12,5285,35.6,Sep,9,False
HH7303,River Side,2023-10-01,200.7,5,11.89,4983,40.1,Oct,10,False
HH6784,Tech Hub,2023-02-01,244.1,1,10.53,5583,244.1,Feb,2,False
HH1685,Old Town,2023-12-01,102.6,4,4.39,3160,25.6,Dec,12,False
HH2256,Market Square,2023-03-01,213.6,4,12.95,8697,53.4,Mar,3,False
HH8003,Market Square,2023-05-01,211.2,3,11.03,4537,70.4,May,5,False
HH5183,River Side,2023-05-01,244.4,3,13.38,9652,81.5,May,5,False
HH1022,Old Town,2023-05-01,167.2,3,13.56,3460,55.7,May,5,False
HH6995,Tech Hub,2023-09-01,281.3,1,15.02,1514,281.3,Sep,9,False
HH3520,Green Park,2023-04-01,173.7,3,6.98,4081,57.9,Apr,4,False
HH3547,Market Square,2023-07-01,396.3,1,21.71,3979,396.3,Jul,7,False
HH8544,River Side,2023-10-01,831.4,5,42.21,3634,166.3,Oct,10,True
HH6251,Old Town,2023-07-01,230.9,5,4.84,2929,46.2,Jul,7,False
HH6891,Old Town,2023-10-01,117.4,5,2.35,2080,23.5,Oct,10,False
HH5431,Market Square,2023-04-01,279.4,3,13.46,7841,93.1,Apr,4,False
HH4390,Tech Hub,2023-04-01,299.4,3,13.64,6997,99.8,Apr,4,False
HH1867,Old Town,2023-06-01,256.0,5,14.5,9623,51.2,Jun,6,False
HH2136,Market Square,2023-04-01,260.8,4,11.88,3810,65.2,Apr,4,False
HH2283,Tech Hub,2023-11-01,323.2,1,17.92,1659,323.2,Nov,11,False
HH6068,Old Town,2023-06-01,233.1,3,8.9,7397,77.7,Jun,6,False
HH9738,Market Square,2023-06-01,293.1,2,15.0,6017,146.6,Jun,6,False
HH9895,Old Town,2023-05-01,148.9,2,8.25,7404,74.4,May,5,False
HH3839,Tech Hub,2023-06-01,405.4,3,20.55,4384,135.1,Jun,6,False
HH7868,Tech Hub,2023-06-01,411.8,1,18.59,2431,411.8,Jun,6,False
HH9461,Tech Hub,2023-10-01,270.7,4,11.75,1631,67.7,Oct,10,False
HH6347,River Side,2023-06-01,342.8,1,16.66,3643,342.8,Jun,6,False
HH1671,River Side,2023-10-01,161.6,3,9.65,8927,53.9,Oct,10,False
HH5260,Old Town,2023-04-01,194.8,1,8.99,3361,194.8,Apr,4,False
HH2938,Market Square,2023-02-01,225.9,1,11.72,9562,225.9,Feb,2,False
HH8875,Green Park,2023-05-01,131.5,2,8.9,7633,65.8,May,5,False
HH8521,Green Park,2023-07-01,266.1,5,17.13,7171,53.2,Jul,7,False
HH4648,River Side,2023-11-01,225.3,2,10.53,2537,112.6,Nov,11,False
HH5666,Green Park,2023-02-01,202.0,4,9.58,1610,50.5,Feb,2,False
HH6774,Old Town,2023-01-01,116.6,4,4.23,7519,29.2,Jan,1,False
HH4867,Market Square,2023-06-01,335.1,2,15.38,8193,167.6,Jun,6,False
HH2577,Green Park,2023-02-01,151.2,1,6.09,3274,151.2,Feb,2,False
HH3551,Tech Hub,2023-07-01,407.2,3,22.66,7411,135.7,Jul,7,False
HH8239,River Side,2023-08-01,335.6,5,15.44,7710,67.1,Aug,8,False
HH3822,Green Park,2023-08-01,169.2,2,10.59,5943,84.6,Aug,8,False
HH1687,Old Town,2023-03-01,236.3,5,12.18,4690,47.3,Mar,3,False
HH6108,Market Square,2023-04-01,224.2,5,13.49,4604,44.8,Apr,4,False
HH4864,Market Square,2023-02-01,590.4,1,29.01,8833,590.4,Feb,2,True
HH1645,Market Square,2023-03-01,260.2,2,12.42,8544,130.1,Mar,3,False
HH1587,Old Town,2023-02-01,131.0,2,9.16,5079,65.5,Feb,2,False
HH6433,Market Square,2023-12-01,195.5,2,8.95,2098,97.8,Dec,12,False
HH8950,Green Park,2023-07-01,206.4,3,12.81,9915,68.8,Jul,7,False
HH6779,Market Square,2023-02-01,248.3,1,10.17,7144,248.3,Feb,2,False
HH7370,Old Town,2023-04-01,149.9,5,8.36,1948,30.0,Apr,4,False
HH8374,Tech Hub,2023-04-01,310.5,5,16.5,2138,62.1,Apr,4,False
HH5596,Green Park,2023-06-01,272.2,4,17.41,6661,68.0,Jun,6,False
HH5178,Old Town,2023-04-01,626.0,1,30.69,8789,626.0,Apr,4,True
HH2531,Old Town,2023-03-01,718.6,1,37.16,3990,718.6,Mar,3,True
HH7816,Tech Hub,2023-08-01,431.0,1,25.23,2762,431.0,Aug,8,False
HH8804,Green Park,2023-11-01,199.7,4,13.04,8789,49.9,Nov,11,False
HH1778,Green Park,2023-08-01,274.0,3,12.4,2492,91.3,Aug,8,False
HH3044,Market Square,2023-05-01,225.8,5,9.86,8368,45.2,May,5,False
HH8468,Market Square,2023-09-01,279.3,1,14.97,1342,279.3,Sep,9,False
HH7748,Tech Hub,2023-06-01,464.2,2,22.51,1405,232.1,Jun,6,False
HH1771,Market Square,2023-03-01,293.0,4,14.11,6525,73.2,Mar,3,False
HH5005,Tech Hub,2023-03-01,312.7,1,15.92,8429,312.7,Mar,3,False
HH4451,Green Park,2023-02-01,139.8,3,2.57,8616,46.6,Feb,2,False
HH6808,Green Park,2023-01-01,136.1,4,11.36,7796,34.0,Jan,1,False
HH4828,Market Square,2023-06-01,358.9,5,18.52,2968,71.8,Jun,6,False
HH3866,River Side,2023-11-01,202.6,5,11.84,1182,40.5,Nov,11,False
HH4629,Green Park,2023-07-01,309.0,5,15.33,4628,61.8,Jul,7,False
HH7588,Green Park,2023-08-01,197.9,5,6.73,4311,39.6,Aug,8,False
HH6443,Green Park,2023-10-01,184.3,2,7.99,1989,92.2,Oct,10,False
HH4808,Green Park,2023-04-01,153.4,4,7.06,1331,38.4,Apr,4,False
HH1201,River Side,2023-03-01,235.4,1,11.43,3497,235.4,Mar,3,False
HH8544,Old Town,2023-11-01,161.7,1,13.18,8718,161.7,Nov,11,False
HH7031,Tech Hub,2023-03-01,281.6,3,14.8,7439,93.9,Mar,3,False
HH2998,River Side,2023-01-01,196.5,5,13.63,6476,39.3,Jan,1,False
HH2130,Market Square,2023-01-01,207.3,4,7.39,7563,51.8,Jan,1,False
HH2823,Old Town,2023-07-01,257.5,4,13.14,2474,64.4,Jul,7,False
HH2141,Old Town,2023-12-01,180.9,3,9.96,2635,60.3,Dec,12,False
HH7564,Tech Hub,2023-01-01,296.9,4,21.02,5928,74.2,Jan,1,False
HH6546,Green Park,2023-04-01,186.8,3,5.11,2829,62.3,Apr,4,False
HH2054,Market Square,2023-08-01,313.0,1,14.47,6744,313.0,Aug,8,False
HH5652,Market Square,2023-02-01,198.3,3,9.89,8939,66.1,Feb,2,False
HH1910,River Side,2023-11-01,167.0,5,5.45,5340,33.4,Nov,11,False
HH7789,River Side,2023-05-01,207.6,3,12.52,1785,69.2,May,5,False
HH4236,Tech Hub,2023-09-01,296.8,4,15.74,3352,74.2,Sep,9,False
HH2439,Market Square,2023-02-01,197.0,3,8.5,8730,65.7,Feb,2,False
HH1358,River Side,2023-01-01,248.0,3,12.57,5931,82.7,Jan,1,False
HH7652,Old Town,2023-01-01,103.8,2,5.67,7416,51.9,Jan,1,False
HH3567,Old Town,2023-12-01,104.5,3,2.82,2307,34.8,Dec,12,False
HH2140,Market Square,2023-01-01,228.2,3,11.95,9458,76.1,Jan,1,False
HH1557,Market Square,2023-12-01,192.1,1,9.76,1882,192.1,Dec,12,False
HH6347,Old Town,2023-10-01,159.6,2,8.76,8269,79.8,Oct,10,False
HH7642,Old Town,2023-01-01,81.6,1,7.95,4825,81.6,Jan,1,False
HH1364,Green Park,2023-03-01,176.8,4,10.75,5258,44.2,Mar,3,False
HH8742,Green Park,2023-08-01,246.2,3,14.58,6442,82.1,Aug,8,False
HH5117,Old Town,2023-05-01,230.0,2,11.88,4420,115.0,May,5,False
HH7337,Old Town,2023-03-01,136.8,4,7.65,4735,34.2,Mar,3,False
