household_id,neighborhood,month,water_usage_liters,household_size,monthly_bill_usd,meter_reading
HH4719,Tech Hub,2023-08,376.4,2,20.39,3745
HH8102,Tech Hub,2023-02,231.1,3,8.88,8312
HH2581,Green Park,2023-01,204.8,5,7.25,8714
HH8418,Market Square,2023-06,310.4,2,19.18,6124
HH7938,Green Park,2023-06,260.9,3,10.85,5784
HH3000,Market Square,2023-01,138.9,4,5.14,6989
HH8245,Old Town,2023-05,207.9,3,11.6,7600
HH4419,Green Park,2023-03,153.8,2,6.35,8239
HH2077,River Side,2023-10,266.5,4,13.56,9427
HH5673,Market Square,2023-11,797.0,5,39.31,5530
HH2331,Tech Hub,2023-02,286.8,3,10.82,5261
HH3180,Green Park,2023-08,244.1,1,13.27,5892
HH8941,Tech Hub,2023-10,299.6,5,16.57,6569
HH7031,Market Square,2023-11,195.4,3,11.6,8687
HH5188,Tech Hub,2023-08,397.4,3,23.22,1671
HH4900,River Side,2023-10,238.5,2,10.87,7677
HH8240,Market Square,2023-06,346.8,2,15.27,7937
HH5432,Green Park,2023-09,183.7,5,13.13,2276
HH1364,Tech Hub,2023-08,491.2,2,23.94,7809
HH6870,Old Town,2023-08,236.0,3,10.23,2531
HH6750,Market Square,2023-02,258.2,1,8.0,9905
HH4596,Green Park,2023-01,133.6,1,4.52,7168
HH8943,Tech Hub,2023-10,299.8,2,17.95,7891
HH1876,Old Town,2023-10,133.7,2,3.92,4812
HH9434,Green Park,2023-01,146.8,1,2.78,3590
HH6560,Market Square,2023-04,1085.4,3,54.56,5289
HH9915,Old Town,2023-08,261.3,2,12.89,1224
HH2917,Tech Hub,2023-01,310.4,5,16.05,5234
HH7038,Tech Hub,2023-11,248.1,5,14.89,3219
HH3824,River Side,2023-08,289.9,1,16.02,2994
HH9567,Old Town,2023-01,149.5,5,8.76,4530
HH7413,Green Park,2023-02,167.6,3,11.54,7941
HH1600,Old Town,2023-05,,4,5.78,2065
HH8804,Green Park,2023-02,145.5,3,9.88,7565
HH2997,Green Park,2023-07,311.9,2,12.44,4687
HH6408,Old Town,2023-07,179.6,5,11.27,9669
HH3645,Old Town,2023-04,189.1,4,10.9,5612
HH7359,Old Town,2023-10,191.1,4,8.53,8863
HH1094,Market Square,2023-08,337.2,2,15.75,3674
HH7166,Old Town,2023-04,111.0,3,6.11,1814
HH8790,River Side,2023-11,228.4,1,9.17,1827
HH6109,Old Town,2023-12,172.1,1,9.95,5146
HH4030,Market Square,2023-08,340.1,4,16.06,3872
HH9393,Green Park,2023-06,328.2,1,17.46,4507
HH8973,Green Park,2023-05,152.5,2,8.12,9577
HH2205,River Side,2023-11,209.9,4,13.83,2990
HH6588,Tech Hub,2023-06,398.5,2,21.74,1966
HH7704,Green Park,2023-04,248.3,5,9.16,5422
HH5524,Green Park,2023-07,292.5,5,13.97,9477
HH6232,Old Town,2023-02,167.2,4,6.36,6797
HH2481,Old Town,2023-04,168.7,2,7.93,7305
HH9519,Tech Hub,2023-01,802.0,3,42.64,8221
HH8970,Green Park,2023-05,,2,7.64,3143
HH9966,Old Town,2023-04,109.2,2,3.66,3198
HH7035,Market Square,2023-03,291.0,5,16.47,4594
HH2279,River Side,2023-02,177.1,5,8.66,8083
HH4186,Old Town,2023-04,165.0,1,6.3,3573
HH3541,Green Park,2023-08,228.2,3,14.65,3051
HH6475,River Side,2023-10,,2,12.69,9232
HH9041,River Side,2023-01,184.9,5,,1341
HH3969,Market Square,2023-11,298.6,2,18.07,4028
HH3866,Tech Hub,2023-10,244.4,1,10.24,5788
HH9378,Tech Hub,2023-03,281.7,4,11.27,2333
HH8715,River Side,2023-07,322.8,1,16.51,9942
HH7122,Tech Hub,2023-03,282.7,5,14.38,1481
HH2240,Green Park,2023-10,116.4,1,5.12,1060
HH5203,Old Town,2023-08,177.3,5,8.06,9363
HH7960,Old Town,2023-06,171.1,3,10.84,4004
HH6895,Green Park,2023-10,186.5,3,13.22,3708
HH6387,Green Park,2023-07,277.1,2,16.59,4993
HH8686,Green Park,2023-10,204.6,5,10.5,5232
HH2466,Old Town,2023-08,257.9,2,12.73,4561
HH3983,Green Park,2023-08,239.0,5,11.33,5278
HH8564,Tech Hub,2023-07,432.4,1,17.76,9684
HH8206,River Side,2023-12,189.5,3,11.61,3032
HH5361,Market Square,2023-05,327.9,1,15.09,8069
HH7467,Green Park,2023-07,973.4,2,49.01,1145
HH9056,Market Square,2023-09,263.8,1,12.69,8511
HH2868,Tech Hub,2023-12,271.9,3,10.53,8878
HH8274,Tech Hub,2023-04,335.0,2,19.99,1824
HH9245,River Side,2023-09,236.7,5,10.59,8214
HH9194,Green Park,2023-09,168.8,1,6.09,8906
HH2218,Market Square,2023-08,282.6,5,12.37,6016
HH1954,River Side,2023-12,184.9,3,8.87,8291
HH9987,Old Town,2023-05,161.4,5,6.81,5036
HH7183,Market Square,2023-01,239.7,2,12.06,4930
HH2704,Market Square,2023-01,219.7,1,11.6,7924
HH3808,Old Town,2023-09,132.2,5,7.8,6150
HH3403,River Side,2023-10,203.7,2,11.46,9780
HH5543,Market Square,2023-12,218.2,2,11.0,2007
HH3382,Old Town,2023-07,240.1,4,12.1,6084
HH9073,Tech Hub,2023-04,286.6,1,14.72,3752
HH8813,River Side,2023-08,291.2,5,15.31,4356
HH4155,Tech Hub,2023-01,294.0,2,14.92,4093
HH2980,Old Town,2023-11,104.6,2,4.1,4056
HH7573,Green Park,2023-08,280.5,4,13.34,1984
HH1959,Green Park,2023-05,175.2,3,6.39,7059
HH2875,Market Square,2023-08,355.9,1,19.21,2763
HH1116,Green Park,2023-06,234.8,5,10.81,3433
HH6420,Old Town,2023-01,122.4,3,1.27,9920
HH4117,Green Park,2023-12,124.0,1,6.1,6791
HH1001,Tech Hub,2023-04,335.5,1,15.45,7368
HH8014,Green Park,2023-09,171.9,2,8.42,1089
HH2925,River Side,2023-02,197.6,3,10.15,3056
HH4389,Green Park,2023-07,206.0,2,12.02,9442
HH8294,Old Town,2023-04,224.7,3,13.58,5904
HH2560,Tech Hub,2023-10,350.6,4,16.61,2266
HH8979,River Side,2023-03,235.7,3,10.64,4665
HH7236,River Side,2023-03,221.1,3,11.3,7078
HH3071,Green Park,2023-07,284.7,5,14.01,9595
HH2712,Market Square,2023-04,276.2,2,15.35,5703
HH2394,Green Park,2023-04,177.5,2,8.13,5732
HH4591,Tech Hub,2023-03,344.3,3,19.98,7895
HH5648,River Side,2023-12,193.9,5,5.05,3365
HH9219,Tech Hub,2023-08,474.4,1,25.49,3113
HH8062,Old Town,2023-05,160.5,4,7.84,4374
HH7276,Old Town,2023-10,97.1,1,5.36,6895
HH4178,Old Town,2023-12,110.8,1,6.58,7052
HH2390,Market Square,2023-12,248.9,4,,2742
HH1281,Tech Hub,2023-11,290.2,5,13.41,7262
HH3740,Old Town,2023-06,229.7,4,9.7,3289
HH4249,Old Town,2023-11,162.0,3,8.9,8595
HH9320,Tech Hub,2023-07,391.8,2,20.88,7812
HH7089,Market Square,2023-06,374.2,3,16.27,7257
HH5440,River Side,2023-01,192.5,3,9.96,5909
HH9125,Tech Hub,2023-01,273.5,5,13.96,4291
HH7924,River Side,2023-02,138.6,1,8.79,4828
HH5114,Market Square,2023-09,259.1,4,11.38,4553
HH3772,River Side,2023-09,243.7,1,11.4,4726
HH6592,Green Park,2023-12,188.1,5,13.46,2440
HH3989,Green Park,2023-01,143.9,2,7.13,7228
HH6252,River Side,2023-08,701.8,4,39.67,5399
HH7570,Market Square,2023-12,140.0,2,5.93,9212
HH1140,Old Town,2023-07,227.9,4,12.16,5882
HH8311,River Side,2023-04,193.9,4,7.73,1105
HH2286,Tech Hub,2023-02,264.5,3,13.09,8052
HH6495,Green Park,2023-10,155.3,4,7.46,7284
HH6752,Market Square,2023-06,389.8,2,20.33,7295
HH8227,Green Park,2023-10,154.3,4,5.6,4273
HH1482,Green Park,2023-02,136.0,5,7.66,4179
HH8622,River Side,2023-01,628.2,4,31.15,8327
HH1769,Old Town,2023-10,182.0,1,6.4,2343
HH7602,Old Town,2023-07,199.9,1,13.27,3349
HH8843,Old Town,2023-04,177.1,4,12.11,1072
HH4713,Green Park,2023-11,214.9,4,7.64,6051
HH9258,Market Square,2023-12,,2,7.86,8979
HH4874,Market Square,2023-10,286.8,2,11.92,5211
HH4083,Tech Hub,2023-10,270.3,1,14.77,4719
HH3368,Tech Hub,2023-03,267.2,4,12.73,1285
HH2012,Market Square,2023-04,227.5,1,11.83,3785
HH3817,Market Square,2023-04,217.9,5,9.12,3496
HH9597,Old Town,2023-03,126.9,3,2.04,5437
HH6548,Tech Hub,2023-05,300.8,2,10.1,2826
HH8842,River Side,2023-06,297.2,5,13.96,7721
HH5259,Old Town,2023-02,157.4,5,8.11,9286
HH6772,Green Park,2023-06,236.5,1,13.69,3529
HH8967,Market Square,2023-02,165.1,4,8.33,9734
HH6179,Tech Hub,2023-02,699.3,2,34.05,7610
HH1689,Old Town,2023-05,153.6,3,10.66,6175
HH7406,Green Park,2023-07,235.1,3,10.93,9591
HH4292,Tech Hub,2023-01,259.8,4,13.0,1419
HH2549,Tech Hub,2023-06,388.7,5,19.02,7140
HH8638,Market Square,2023-07,,2,42.89,8993
HH3385,Market Square,2023-01,240.6,5,11.04,5268
HH6887,Tech Hub,2023-01,258.6,4,10.98,8961
HH4493,Tech Hub,2023-02,290.0,1,12.77,7164
HH8177,River Side,2023-01,221.3,5,8.82,9433
HH7869,River Side,2023-12,204.6,3,11.25,3247
HH7230,Green Park,2023-01,154.0,4,6.19,5940
HH2668,Green Park,2023-07,241.0,1,12.42,1147
HH6510,Market Square,2023-08,309.6,3,13.54,9754
HH7511,Old Town,2023-10,168.5,2,7.01,8504
HH9569,Green Park,2023-09,142.4,4,6.12,5285
HH7303,River Side,2023-10,200.7,5,11.89,4983
HH6784,Tech Hub,2023-02,244.1,1,10.53,5583
HH1685,Old Town,2023-12,102.6,4,4.39,3160
HH2256,Market Square,2023-03,213.6,4,12.95,8697
HH8003,Market Square,2023-05,211.2,3,11.03,4537
HH5183,River Side,2023-05,244.4,3,13.38,9652
HH1022,Old Town,2023-05,167.2,3,13.56,3460
HH6995,Tech Hub,2023-09,281.3,1,15.02,1514
HH3520,Green Park,2023-04,173.7,3,6.98,4081
HH3547,Market Square,2023-07,396.3,1,21.71,3979
HH8544,River Side,2023-10,831.4,5,42.21,3634
HH6251,Old Town,2023-07,230.9,5,4.84,2929
HH6891,Old Town,2023-10,117.4,5,2.35,2080
HH5431,Market Square,2023-04,279.4,3,13.46,7841
HH4390,Tech Hub,2023-04,299.4,3,13.64,6997
HH1867,Old Town,2023-06,256.0,5,14.5,9623
HH2136,Market Square,2023-04,260.8,4,11.88,3810
HH2283,Tech Hub,2023-11,323.2,1,17.92,1659
HH6068,Old Town,2023-06,233.1,3,8.9,7397
HH9738,Market Square,2023-06,293.1,2,15.0,6017
HH9895,Old Town,2023-05,148.9,2,8.25,7404
HH3839,Tech Hub,2023-06,405.4,3,20.55,4384
HH7868,Tech Hub,2023-06,411.8,1,18.59,2431
HH9461,Tech Hub,2023-10,270.7,4,11.75,1631
HH6347,River Side,2023-06,342.8,1,16.66,3643
HH1671,River Side,2023-10,161.6,3,9.65,8927
HH5260,Old Town,2023-04,194.8,1,8.99,3361
HH2938,Market Square,2023-02,225.9,1,,9562
HH8875,Green Park,2023-05,131.5,2,8.9,7633
HH8521,Green Park,2023-07,266.1,5,17.13,7171
HH4648,River Side,2023-11,225.3,2,10.53,2537
HH5666,Green Park,2023-02,202.0,4,9.58,1610
HH6774,Old Town,2023-01,116.6,4,4.23,7519
HH4867,Market Square,2023-06,335.1,2,15.38,8193
HH2577,Green Park,2023-02,151.2,1,6.09,3274
HH3551,Tech Hub,2023-07,407.2,3,22.66,7411
HH8239,River Side,2023-08,335.6,5,15.44,7710
HH3822,Green Park,2023-08,169.2,2,10.59,5943
HH1687,Old Town,2023-03,236.3,5,12.18,4690
HH6108,Market Square,2023-04,224.2,5,13.49,4604
HH4864,Market Square,2023-02,590.4,1,29.01,8833
HH1645,Market Square,2023-03,260.2,2,12.42,8544
HH1587,Old Town,2023-02,131.0,2,9.16,5079
HH6433,Market Square,2023-12,195.5,2,8.95,2098
HH8950,Green Park,2023-07,206.4,3,12.81,9915
HH6779,Market Square,2023-02,248.3,1,10.17,7144
HH7370,Old Town,2023-04,149.9,5,8.36,1948
HH8374,Tech Hub,2023-04,310.5,5,16.5,2138
HH5596,Green Park,2023-06,272.2,4,17.41,6661
HH5178,Old Town,2023-04,626.0,1,30.69,8789
HH2531,Old Town,2023-03,718.6,1,37.16,3990
HH7816,Tech Hub,2023-08,431.0,1,25.23,2762
HH8804,Green Park,2023-11,199.7,4,13.04,8789
HH1778,Green Park,2023-08,274.0,3,12.4,2492
HH3044,Market Square,2023-05,225.8,5,9.86,8368
HH8468,Market Square,2023-09,279.3,1,14.97,1342
HH7748,Tech Hub,2023-06,464.2,2,22.51,1405
HH1771,Market Square,2023-03,293.0,4,14.11,6525
HH5005,Tech Hub,2023-03,312.7,1,15.92,8429
HH4451,Green Park,2023-02,139.8,3,2.57,8616
HH6808,Green Park,2023-01,136.1,4,11.36,7796
HH4828,Market Square,2023-06,358.9,5,18.52,2968
HH3866,River Side,2023-11,202.6,5,11.84,1182
HH4629,Green Park,2023-07,309.0,5,15.33,4628
HH7588,Green Park,2023-08,197.9,5,6.73,4311
HH6443,Green Park,2023-10,184.3,2,7.99,1989
HH4808,Green Park,2023-04,153.4,4,7.06,1331
HH1201,River Side,2023-03,235.4,1,11.43,3497
HH8544,Old Town,2023-11,161.7,1,13.18,8718
HH7031,Tech Hub,2023-03,281.6,3,14.8,7439
HH2998,River Side,2023-01,196.5,5,13.63,6476
HH2130,Market Square,2023-01,207.3,4,7.39,7563
HH2823,Old Town,2023-07,257.5,4,13.14,2474
HH2141,Old Town,2023-12,180.9,3,9.96,2635
HH7564,Tech Hub,2023-01,296.9,4,21.02,5928
HH6546,Green Park,2023-04,186.8,3,5.11,2829
HH2054,Market Square,2023-08,313.0,1,14.47,6744
HH5652,Market Square,2023-02,198.3,3,9.89,8939
HH1910,River Side,2023-11,167.0,5,5.45,5340
HH7789,River Side,2023-05,207.6,3,12.52,1785
HH4236,Tech Hub,2023-09,296.8,4,15.74,3352
HH2439,Market Square,2023-02,197.0,3,8.5,8730
HH1358,River Side,2023-01,248.0,3,12.57,5931
HH7652,Old Town,2023-01,103.8,2,5.67,7416
HH3567,Old Town,2023-12,104.5,3,2.82,2307
HH2140,Market Square,2023-01,228.2,3,11.95,9458
HH1557,Market Square,2023-12,192.1,1,9.76,1882
HH6347,Old Town,2023-10,159.6,2,8.76,8269
HH7642,Old Town,2023-01,81.6,1,7.95,4825
HH1364,Green Park,2023-03,176.8,4,10.75,5258
HH8742,Green Park,2023-08,246.2,3,14.58,6442
HH5117,Old Town,2023-05,230.0,2,11.88,4420
HH7337,Old Town,2023-03,136.8,4,7.65,4735
HH3841,Old Town,2023-08,267.4,2,13.65,5208
HH9068,Old Town,2023-01,172.3,5,5.74,3235
HH5897,Green Park,2023-01,,1,10.32,6037
HH6409,Tech Hub,2023-06,434.1,5,17.99,3092
HH8913,Market Square,2023-03,193.2,2,10.09,8547
HH6409,Tech Hub,2023-02,,4,11.09,3951
HH6789,Old Town,2023-06,216.1,1,6.8,1436
HH1182,Market Square,2023-05,237.8,1,9.12,8190
HH7555,River Side,2023-10,226.6,2,13.91,9244
HH5945,Tech Hub,2023-11,277.8,2,15.67,8927
HH8161,River Side,2023-11,200.3,1,6.94,2884
HH7056,River Side,2023-02,215.7,2,8.72,3437
HH6738,Market Square,2023-12,186.7,1,11.59,5232
HH3224,Old Town,2023-02,166.8,5,7.01,9389
HH8094,Tech Hub,2023-03,308.0,1,14.23,7318
HH6904,Market Square,2023-05,244.9,3,12.64,5888
HH2124,Green Park,2023-05,247.2,1,11.54,6621
HH6355,Tech Hub,2023-09,270.1,3,13.38,5968
HH5424,Tech Hub,2023-07,406.4,2,23.22,4237
HH2772,Old Town,2023-06,215.8,5,11.52,9353
HH9547,Green Park,2023-08,256.1,1,12.13,1234
HH4748,Old Town,2023-09,175.4,5,9.95,4173
HH3158,River Side,2023-06,313.3,3,15.83,3661
HH2401,Green Park,2023-12,150.7,4,7.57,4259
HH3745,River Side,2023-06,299.9,1,18.13,7091
HH9224,Old Town,2023-06,216.9,5,11.23,7198
HH1972,River Side,2023-07,798.8,4,37.0,4718
HH9835,Tech Hub,2023-03,320.1,3,17.36,9386
HH7614,Market Square,2023-09,254.5,4,14.0,9707
HH1277,River Side,2023-08,308.6,4,15.89,1232
HH8468,Green Park,2023-11,203.1,1,13.05,7410
HH9682,Market Square,2023-05,277.1,3,13.98,2072
HH5781,Tech Hub,2023-06,412.1,1,16.93,4313
HH2946,River Side,2023-01,186.9,1,10.89,3783
HH2932,Market Square,2023-10,234.1,2,12.15,2757
HH8888,Old Town,2023-06,181.3,1,8.53,7474
HH3743,Market Square,2023-02,199.6,4,11.16,8866
HH1619,River Side,2023-09,213.5,2,7.7,1882
HH1929,Market Square,2023-11,290.8,2,12.55,6366
HH8594,Market Square,2023-10,304.1,1,14.82,6158
HH2636,Green Park,2023-11,189.2,4,11.57,9155
HH5444,Tech Hub,2023-10,285.3,3,15.2,8618
HH3451,Tech Hub,2023-10,404.9,3,17.32,1628
HH9307,Old Town,2023-03,163.0,2,9.33,5956
HH9345,Tech Hub,2023-05,341.4,2,14.58,4699
HH8423,River Side,2023-11,207.8,5,11.76,3871
HH8470,Old Town,2023-05,208.5,4,10.63,7297
HH4180,Market Square,2023-05,269.9,2,14.57,5316
HH1270,Green Park,2023-03,167.1,3,8.53,3468
HH9120,Green Park,2023-03,160.4,2,10.45,7614
HH8997,Market Square,2023-08,361.1,5,17.7,5776
HH5307,Green Park,2023-09,174.8,5,7.64,6634
HH7028,Old Town,2023-06,244.4,5,9.92,2849
HH8214,River Side,2023-05,245.9,3,13.45,4811
HH4273,Market Square,2023-06,402.2,2,22.07,5538
HH6679,River Side,2023-09,243.3,1,9.37,7579
HH3610,Green Park,2023-11,168.5,1,8.93,2104
HH1406,Green Park,2023-08,241.4,1,11.31,1166
HH5357,Market Square,2023-09,275.2,5,12.53,2363
HH3230,Tech Hub,2023-05,313.2,5,17.22,5287
HH7033,Green Park,2023-01,120.2,4,5.24,9560
HH5997,Old Town,2023-11,114.5,3,5.01,8032
HH2855,Green Park,2023-01,83.0,5,6.85,9125
HH8262,Old Town,2023-03,130.1,4,5.95,1451
HH8951,Tech Hub,2023-07,,3,21.33,5690
HH4197,Old Town,2023-02,116.1,4,4.81,1139
HH4104,Green Park,2023-06,288.5,3,12.69,1049
HH7432,Green Park,2023-03,164.7,4,8.66,4765
HH6693,Old Town,2023-06,236.7,2,11.5,6788
HH2988,River Side,2023-01,190.4,1,7.64,4802
HH9399,Green Park,2023-12,158.2,3,6.51,6633
HH2518,Tech Hub,2023-08,426.2,3,21.45,7163
HH3849,Old Town,2023-09,165.9,2,6.67,2742
HH5195,Old Town,2023-10,218.5,3,9.81,6178
HH3461,Tech Hub,2023-02,248.6,2,12.98,5120
HH8331,Market Square,2023-12,171.0,1,11.63,1082
HH5937,Green Park,2023-10,213.7,1,10.02,1369
HH4676,Old Town,2023-06,245.8,1,11.64,3426
HH5017,Green Park,2023-11,180.5,1,8.85,9560
HH9252,Market Square,2023-07,909.7,2,45.0,6041
HH2361,Old Town,2023-10,207.9,2,13.66,5370
HH2014,Tech Hub,2023-11,327.5,1,14.99,1602
HH5027,Old Town,2023-10,118.7,1,5.26,3912
HH1679,Market Square,2023-09,280.0,2,13.53,6738
HH8352,Market Square,2023-12,212.6,2,5.23,7915
HH9312,Market Square,2023-11,273.8,3,13.66,8552
HH1802,Market Square,2023-05,275.7,3,15.7,6059
HH9468,Market Square,2023-01,179.9,1,7.34,1060
HH7121,River Side,2023-04,223.3,5,11.42,2200
HH8206,River Side,2023-10,213.1,3,,1661
HH7968,Green Park,2023-06,260.5,3,13.46,3773
HH6520,Green Park,2023-05,227.8,5,10.11,4687
HH9912,Market Square,2023-02,256.4,1,13.14,5733
HH8178,Old Town,2023-10,193.6,2,13.35,3294
HH1018,Old Town,2023-06,254.6,1,16.91,3242
HH5236,River Side,2023-08,282.0,3,15.17,7901
HH7160,Green Park,2023-02,151.7,2,11.45,6388
HH1192,Market Square,2023-10,246.0,5,12.65,2776
HH4893,Green Park,2023-11,178.6,5,7.4,7811
HH7773,Green Park,2023-08,245.3,1,15.52,4816
HH4764,Market Square,2023-03,239.1,3,14.39,5637
HH5780,Green Park,2023-08,211.9,4,10.42,5177
HH6626,River Side,2023-06,251.7,3,13.82,8739
HH1670,Tech Hub,2023-11,957.3,1,49.8,8291
HH7457,River Side,2023-08,286.0,2,14.46,2892
HH4612,Market Square,2023-07,1078.8,4,55.49,3618
HH2812,Tech Hub,2023-09,265.5,3,10.06,9995
HH4340,River Side,2023-05,267.7,5,13.9,7410
HH9841,Old Town,2023-09,137.3,4,5.49,4278
HH8485,Green Park,2023-10,152.8,2,10.68,1383
HH7111,Green Park,2023-03,185.2,5,10.37,5251
HH4046,Market Square,2023-10,276.9,2,11.27,2230
HH4748,Tech Hub,2023-07,442.2,1,23.74,7718
HH3103,Market Square,2023-05,279.4,1,14.68,1365
HH3378,Old Town,2023-08,244.1,2,11.62,2205
HH2474,Market Square,2023-06,384.8,2,17.62,5460
HH3964,Old Town,2023-03,107.3,3,6.64,5594
HH4504,Old Town,2023-12,364.7,2,19.62,1991
HH1067,Tech Hub,2023-07,431.6,5,23.76,6660
HH7039,Old Town,2023-11,134.8,3,7.56,1650
HH3827,River Side,2023-07,353.5,5,20.38,6232
HH3961,River Side,2023-04,220.2,5,12.44,4226
HH3505,River Side,2023-08,366.9,1,18.35,1917
HH8086,Old Town,2023-01,172.9,4,12.02,5749
HH8389,River Side,2023-04,214.6,4,8.19,3690
HH9135,Tech Hub,2023-08,,2,23.37,7055
HH5735,Old Town,2023-06,212.6,1,10.99,3387
HH2262,Tech Hub,2023-07,430.0,5,23.1,6047
HH3259,Old Town,2023-05,167.4,3,8.76,2257
HH6750,Green Park,2023-07,269.5,4,13.79,4856
HH9954,River Side,2023-03,263.0,2,13.66,5145
HH9775,River Side,2023-04,257.0,1,7.78,6415
HH1861,Tech Hub,2023-08,407.7,5,19.42,7711
HH3148,Tech Hub,2023-10,276.9,4,11.25,6457
HH2447,River Side,2023-07,333.5,2,19.68,4199
HH5920,Old Town,2023-12,133.1,2,3.1,7324
HH9080,River Side,2023-09,203.8,4,8.01,6518
HH1844,River Side,2023-07,299.6,2,16.67,1446
HH6558,Tech Hub,2023-12,287.7,2,16.97,1186
HH1269,Green Park,2023-08,259.9,2,10.48,2630
HH1052,Tech Hub,2023-12,,4,11.33,6570
HH7855,Tech Hub,2023-03,313.3,5,14.8,3294
HH8243,Green Park,2023-06,288.5,3,13.4,6918
HH4558,Market Square,2023-05,265.6,5,11.32,5478
HH4968,Tech Hub,2023-10,316.0,4,,1910
HH2134,Market Square,2023-01,182.5,3,7.56,5876
HH8678,Market Square,2023-01,234.8,2,13.74,4357
HH2647,Market Square,2023-02,247.6,5,11.65,7992
HH8069,Old Town,2023-04,148.7,5,11.49,5512
HH2504,Green Park,2023-04,199.5,4,11.49,4308
HH8850,Green Park,2023-09,206.4,3,13.43,7416
HH9100,Green Park,2023-10,200.6,2,13.73,9684
HH8282,Old Town,2023-06,216.6,1,9.89,2874
HH8538,Tech Hub,2023-11,347.3,2,19.34,8411
HH8737,Tech Hub,2023-06,391.1,4,17.59,4359
HH6869,Green Park,2023-09,155.6,4,3.91,9039
HH5567,Old Town,2023-12,111.4,4,3.07,7513
HH9728,Tech Hub,2023-06,429.7,5,19.19,8678
HH9002,River Side,2023-03,214.4,2,7.46,5247
HH7995,Market Square,2023-03,221.5,2,14.57,8299
HH6552,Green Park,2023-06,236.9,1,10.86,1627
HH1974,Market Square,2023-01,222.9,4,9.68,8192
HH9662,Market Square,2023-08,353.7,4,15.67,2987
HH5440,Old Town,2023-02,192.9,2,10.08,8347
HH2716,Green Park,2023-08,266.0,5,14.31,1310
